TC_ID,TC_NAME,CAE_NAME,DYNA_ID,NASTRAN_ID,ABAQUS_ID,E,NU,RHO
M00000000,DefaultMaterial,DefaultMaterial,99000000,99200000,99300000,210000,0.3,7.90E-09
M00000001,SAE J403-1002,SAEJ403-1002,99000001,99200001,99300001,210000,0.3,7.85E-09
M00000002,SAE J403-1003,SAEJ403-1003,99000002,99200002,99300002,210000,0.3,7.85E-09
M00000003,SAE J403-1004,SAEJ403-1004,99000003,99200003,99300003,210000,0.3,7.85E-09
M00000004,SAE J403-1005,SAEJ403-1005,99000004,99200004,99300004,210000,0.3,7.85E-09
M00000005,SAE J403-1006,SAEJ403-1006,99000005,99200005,99300005,210000,0.3,7.85E-09
M00000006,SAE J403-1007,SAEJ403-1007,99000006,99200006,99300006,210000,0.3,7.85E-09
M00000007,SAE J403-1008,SAEJ403-1008,99000007,99200007,99300007,210000,0.3,7.85E-09
M00000008,SAE J403-1009,SAEJ403-1009,99000008,99200008,99300008,210000,0.3,7.85E-09
M00000009,SAE J403-1010,SAEJ403-1010,99000009,99200009,99300009,210000,0.3,7.85E-09
M00000010,SAE J403-1012,SAEJ403-1012,99000010,99200010,99300010,210000,0.3,7.85E-09
M00000011,SAE J403-1013,SAEJ403-1013,99000011,99200011,99300011,210000,0.3,7.85E-09
M00000012,SAE J403-1015,SAEJ403-1015,99000012,99200012,99300012,210000,0.3,7.85E-09
M00000013,SAE J403-1016,SAEJ403-1016,99000013,99200013,99300013,210000,0.3,7.85E-09
M00000014,SAE J403-1017,SAEJ403-1017,99000014,99200014,99300014,210000,0.3,7.85E-09
M00000015,SAE J403-1018,SAEJ403-1018,99000015,99200015,99300015,210000,0.3,7.85E-09
M00000016,SAE J403-1019,SAEJ403-1019,99000016,99200016,99300016,210000,0.3,7.85E-09
M00000017,SAE J403-1020,SAEJ403-1020,99000017,99200017,99300017,210000,0.3,7.85E-09
M00000018,SAE J403-1021,SAEJ403-1021,99000018,99200018,99300018,210000,0.3,7.85E-09
M00000019,SAE J403-1022,SAEJ403-1022,99000019,99200019,99300019,210000,0.3,7.85E-09
M00000020,SAE J403-1023,SAEJ403-1023,99000020,99200020,99300020,210000,0.3,7.85E-09
M00000021,SAE J403-1025,SAEJ403-1025,99000021,99200021,99300021,210000,0.3,7.85E-09
M00000022,SAE J403-1026,SAEJ403-1026,99000022,99200022,99300022,210000,0.3,7.85E-09
M00000023,SAE J403-1029,SAEJ403-1029,99000023,99200023,99300023,210000,0.3,7.85E-09
M00000024,SAE J403-1030,SAEJ403-1030,99000024,99200024,99300024,210000,0.3,7.85E-09
M00000025,SAE J403-1033,SAEJ403-1033,99000025,99200025,99300025,210000,0.3,7.85E-09
M00000026,SAE J403-1035,SAEJ403-1035,99000026,99200026,99300026,210000,0.3,7.85E-09
M00000027,SAE J403-1037,SAEJ403-1037,99000027,99200027,99300027,210000,0.3,7.85E-09
M00000028,SAE J403-1038,SAEJ403-1038,99000028,99200028,99300028,210000,0.3,7.85E-09
M00000029,SAE J403-1039,SAEJ403-1039,99000029,99200029,99300029,210000,0.3,7.85E-09
M00000030,SAE J403-1040,SAEJ403-1040,99000030,99200030,99300030,210000,0.3,7.85E-09
M00000031,SAE J403-1042,SAEJ403-1042,99000031,99200031,99300031,210000,0.3,7.85E-09
M00000032,SAE J403-1043,SAEJ403-1043,99000032,99200032,99300032,210000,0.3,7.85E-09
M00000033,SAE J403-1044,SAEJ403-1044,99000033,99200033,99300033,210000,0.3,7.85E-09
M00000034,SAE J403-1045,SAEJ403-1045,99000034,99200034,99300034,210000,0.3,7.85E-09
M00000035,SAE J403-1046,SAEJ403-1046,99000035,99200035,99300035,210000,0.3,7.85E-09
M00000036,SAE J403-1049,SAEJ403-1049,99000036,99200036,99300036,210000,0.3,7.85E-09
M00000037,SAE J403-1050,SAEJ403-1050,99000037,99200037,99300037,210000,0.3,7.85E-09
M00000038,SAE J403-1053,SAEJ403-1053,99000038,99200038,99300038,210000,0.3,7.85E-09
M00000039,SAE J403-1055,SAEJ403-1055,99000039,99200039,99300039,210000,0.3,7.85E-09
M00000040,SAE J403-1060,SAEJ403-1060,99000040,99200040,99300040,210000,0.3,7.85E-09
M00000041,SAE J403-1065,SAEJ403-1065,99000041,99200041,99300041,210000,0.3,7.85E-09
M00000042,SAE J403-1070,SAEJ403-1070,99000042,99200042,99300042,210000,0.3,7.85E-09
M00000043,SAE J403-1074,SAEJ403-1074,99000043,99200043,99300043,210000,0.3,7.85E-09
M00000044,SAE J403-1075,SAEJ403-1075,99000044,99200044,99300044,210000,0.3,7.85E-09
M00000045,SAE J403-1078,SAEJ403-1078,99000045,99200045,99300045,210000,0.3,7.85E-09
M00000046,SAE J403-1080,SAEJ403-1080,99000046,99200046,99300046,210000,0.3,7.85E-09
M00000047,SAE J403-1084,SAEJ403-1084,99000047,99200047,99300047,210000,0.3,7.85E-09
M00000048,SAE J403-1085,SAEJ403-1085,99000048,99200048,99300048,210000,0.3,7.85E-09
M00000049,SAE J403-1086,SAEJ403-1086,99000049,99200049,99300049,210000,0.3,7.85E-09
M00000050,SAE J403-1090,SAEJ403-1090,99000050,99200050,99300050,210000,0.3,7.85E-09
M00000051,SAE J403-1095,SAEJ403-1095,99000051,99200051,99300051,210000,0.3,7.85E-09
M00000052,SAE J403-1515,SAEJ403-1515,99000052,99200052,99300052,210000,0.3,7.85E-09
M00000053,SAE J403-1521,SAEJ403-1521,99000053,99200053,99300053,210000,0.3,7.85E-09
M00000054,SAE J403-1522,SAEJ403-1522,99000054,99200054,99300054,210000,0.3,7.85E-09
M00000055,SAE J403-1524,SAEJ403-1524,99000055,99200055,99300055,210000,0.3,7.85E-09
M00000056,SAE J403-1526,SAEJ403-1526,99000056,99200056,99300056,210000,0.3,7.85E-09
M00000057,SAE J403-1527,SAEJ403-1527,99000057,99200057,99300057,210000,0.3,7.85E-09
M00000058,SAE J403-1536,SAEJ403-1536,99000058,99200058,99300058,210000,0.3,7.85E-09
M00000059,SAE J403-1541,SAEJ403-1541,99000059,99200059,99300059,210000,0.3,7.85E-09
M00000060,SAE J403-1547,SAEJ403-1547,99000060,99200060,99300060,210000,0.3,7.85E-09
M00000061,SAE J403-1548,SAEJ403-1548,99000061,99200061,99300061,210000,0.3,7.85E-09
M00000062,SAE J403-1552,SAEJ403-1552,99000062,99200062,99300062,210000,0.3,7.85E-09
M00000063,SAE J403-1566,SAEJ403-1566,99000063,99200063,99300063,210000,0.3,7.85E-09
M00000064,SAE J403-1117,SAEJ403-1117,99000064,99200064,99300064,210000,0.3,7.85E-09
M00000065,SAE J403-1118,SAEJ403-1118,99000065,99200065,99300065,210000,0.3,7.85E-09
M00000066,SAE J403-1126,SAEJ403-1126,99000066,99200066,99300066,210000,0.3,7.85E-09
M00000067,SAE J403-1132,SAEJ403-1132,99000067,99200067,99300067,210000,0.3,7.85E-09
M00000068,SAE J403-1137,SAEJ403-1137,99000068,99200068,99300068,210000,0.3,7.85E-09
M00000069,SAE J403-1138,SAEJ403-1138,99000069,99200069,99300069,210000,0.3,7.85E-09
M00000070,SAE J403-1140,SAEJ403-1140,99000070,99200070,99300070,210000,0.3,7.85E-09
M00000071,SAE J403-1141,SAEJ403-1141,99000071,99200071,99300071,210000,0.3,7.85E-09
M00000072,SAE J403-11V41,SAEJ403-11V41,99000072,99200072,99300072,210000,0.3,7.85E-09
M00000073,SAE J403-1144,SAEJ403-1144,99000073,99200073,99300073,210000,0.3,7.85E-09
M00000074,SAE J403-1146,SAEJ403-1146,99000074,99200074,99300074,210000,0.3,7.85E-09
M00000075,SAE J403-1151,SAEJ403-1151,99000075,99200075,99300075,210000,0.3,7.85E-09
M00000076,SAE J403-1212,SAEJ403-1212,99000076,99200076,99300076,210000,0.3,7.85E-09
M00000077,SAE J403-1213,SAEJ403-1213,99000077,99200077,99300077,210000,0.3,7.85E-09
M00000078,SAE J403-1215,SAEJ403-1215,99000078,99200078,99300078,210000,0.3,7.85E-09
M00000079,SAE J403-12L14,SAEJ403-12L14,99000079,99200079,99300079,210000,0.3,7.85E-09
M00000080,SAE J403-10B02,SAEJ403-10B02,99000080,99200080,99300080,210000,0.3,7.85E-09
M00000081,SAE J403-10B03,SAEJ403-10B03,99000081,99200081,99300081,210000,0.3,7.85E-09
M00000082,SAE J403-10B04,SAEJ403-10B04,99000082,99200082,99300082,210000,0.3,7.85E-09
M00000083,SAE J403-10B05,SAEJ403-10B05,99000083,99200083,99300083,210000,0.3,7.85E-09
M00000084,SAE J403-10B06,SAEJ403-10B06,99000084,99200084,99300084,210000,0.3,7.85E-09
M00000085,SAE J403-10B07,SAEJ403-10B07,99000085,99200085,99300085,210000,0.3,7.85E-09
M00000086,SAE J403-10B08,SAEJ403-10B08,99000086,99200086,99300086,210000,0.3,7.85E-09
M00000087,SAE J403-10B09,SAEJ403-10B09,99000087,99200087,99300087,210000,0.3,7.85E-09
M00000088,SAE J403-10B10,SAEJ403-10B10,99000088,99200088,99300088,210000,0.3,7.85E-09
M00000089,SAE J403-10B12,SAEJ403-10B12,99000089,99200089,99300089,210000,0.3,7.85E-09
M00000090,SAE J403-10B13,SAEJ403-10B13,99000090,99200090,99300090,210000,0.3,7.85E-09
M00000091,SAE J403-10B15,SAEJ403-10B15,99000091,99200091,99300091,210000,0.3,7.85E-09
M00000092,SAE J403-10B16,SAEJ403-10B16,99000092,99200092,99300092,210000,0.3,7.85E-09
M00000093,SAE J403-10B17,SAEJ403-10B17,99000093,99200093,99300093,210000,0.3,7.85E-09
M00000094,SAE J403-10B18,SAEJ403-10B18,99000094,99200094,99300094,210000,0.3,7.85E-09
M00000095,SAE J403-10B19,SAEJ403-10B19,99000095,99200095,99300095,210000,0.3,7.85E-09
M00000096,SAE J403-10B20,SAEJ403-10B20,99000096,99200096,99300096,210000,0.3,7.85E-09
M00000097,SAE J403-10B21,SAEJ403-10B21,99000097,99200097,99300097,210000,0.3,7.85E-09
M00000098,SAE J403-10B22,SAEJ403-10B22,99000098,99200098,99300098,210000,0.3,7.85E-09
M00000099,SAE J403-10B23,SAEJ403-10B23,99000099,99200099,99300099,210000,0.3,7.85E-09
M00000100,SAE J403-10B25,SAEJ403-10B25,99000100,99200100,99300100,210000,0.3,7.85E-09
M00000101,SAE J403-10B26,SAEJ403-10B26,99000101,99200101,99300101,210000,0.3,7.85E-09
M00000102,SAE J403-10B29,SAEJ403-10B29,99000102,99200102,99300102,210000,0.3,7.85E-09
M00000103,SAE J403-10B30,SAEJ403-10B30,99000103,99200103,99300103,210000,0.3,7.85E-09
M00000104,SAE J403-10B33,SAEJ403-10B33,99000104,99200104,99300104,210000,0.3,7.85E-09
M00000105,SAE J403-10B35,SAEJ403-10B35,99000105,99200105,99300105,210000,0.3,7.85E-09
M00000106,SAE J403-10B37,SAEJ403-10B37,99000106,99200106,99300106,210000,0.3,7.85E-09
M00000107,SAE J403-10B38,SAEJ403-10B38,99000107,99200107,99300107,210000,0.3,7.85E-09
M00000108,SAE J403-10B39,SAEJ403-10B39,99000108,99200108,99300108,210000,0.3,7.85E-09
M00000109,SAE J403-10B40,SAEJ403-10B40,99000109,99200109,99300109,210000,0.3,7.85E-09
M00000110,SAE J403-10B42,SAEJ403-10B42,99000110,99200110,99300110,210000,0.3,7.85E-09
M00000111,SAE J403-10B43,SAEJ403-10B43,99000111,99200111,99300111,210000,0.3,7.85E-09
M00000112,SAE J403-10B44,SAEJ403-10B44,99000112,99200112,99300112,210000,0.3,7.85E-09
M00000113,SAE J403-10B45,SAEJ403-10B45,99000113,99200113,99300113,210000,0.3,7.85E-09
M00000114,SAE J403-10B46,SAEJ403-10B46,99000114,99200114,99300114,210000,0.3,7.85E-09
M00000115,SAE J403-10B49,SAEJ403-10B49,99000115,99200115,99300115,210000,0.3,7.85E-09
M00000116,SAE J403-10B50,SAEJ403-10B50,99000116,99200116,99300116,210000,0.3,7.85E-09
M00000117,SAE J403-10B53,SAEJ403-10B53,99000117,99200117,99300117,210000,0.3,7.85E-09
M00000118,SAE J403-10B55,SAEJ403-10B55,99000118,99200118,99300118,210000,0.3,7.85E-09
M00000119,SAE J403-10B60,SAEJ403-10B60,99000119,99200119,99300119,210000,0.3,7.85E-09
M00000120,SAE J403-10B65,SAEJ403-10B65,99000120,99200120,99300120,210000,0.3,7.85E-09
M00000121,SAE J403-10B70,SAEJ403-10B70,99000121,99200121,99300121,210000,0.3,7.85E-09
M00000122,SAE J403-10B74,SAEJ403-10B74,99000122,99200122,99300122,210000,0.3,7.85E-09
M00000123,SAE J403-10B75,SAEJ403-10B75,99000123,99200123,99300123,210000,0.3,7.85E-09
M00000124,SAE J403-10B78,SAEJ403-10B78,99000124,99200124,99300124,210000,0.3,7.85E-09
M00000125,SAE J403-10B80,SAEJ403-10B80,99000125,99200125,99300125,210000,0.3,7.85E-09
M00000126,SAE J403-10B84,SAEJ403-10B84,99000126,99200126,99300126,210000,0.3,7.85E-09
M00000127,SAE J403-10B85,SAEJ403-10B85,99000127,99200127,99300127,210000,0.3,7.85E-09
M00000128,SAE J403-10B86,SAEJ403-10B86,99000128,99200128,99300128,210000,0.3,7.85E-09
M00000129,SAE J403-10B90,SAEJ403-10B90,99000129,99200129,99300129,210000,0.3,7.85E-09
M00000130,SAE J403-10B95,SAEJ403-10B95,99000130,99200130,99300130,210000,0.3,7.85E-09
M00000131,SAE J403-15B15,SAEJ403-15B15,99000131,99200131,99300131,210000,0.3,7.85E-09
M00000132,SAE J403-15B21,SAEJ403-15B21,99000132,99200132,99300132,210000,0.3,7.85E-09
M00000133,SAE J403-15B22,SAEJ403-15B22,99000133,99200133,99300133,210000,0.3,7.85E-09
M00000134,SAE J403-15B24,SAEJ403-15B24,99000134,99200134,99300134,210000,0.3,7.85E-09
M00000135,SAE J403-15B26,SAEJ403-15B26,99000135,99200135,99300135,210000,0.3,7.85E-09
M00000136,SAE J403-15B27,SAEJ403-15B27,99000136,99200136,99300136,210000,0.3,7.85E-09
M00000137,SAE J403-15B36,SAEJ403-15B36,99000137,99200137,99300137,210000,0.3,7.85E-09
M00000138,SAE J403-15B41,SAEJ403-15B41,99000138,99200138,99300138,210000,0.3,7.85E-09
M00000139,SAE J403-15B47,SAEJ403-15B47,99000139,99200139,99300139,210000,0.3,7.85E-09
M00000140,SAE J403-15B48,SAEJ403-15B48,99000140,99200140,99300140,210000,0.3,7.85E-09
M00000141,SAE J403-15B52,SAEJ403-15B52,99000141,99200141,99300141,210000,0.3,7.85E-09
M00000142,SAE J403-15B66,SAEJ403-15B66,99000142,99200142,99300142,210000,0.3,7.85E-09
M00000143,SAE J403-10L02,SAEJ403-10L02,99000143,99200143,99300143,210000,0.3,7.85E-09
M00000144,SAE J403-10L03,SAEJ403-10L03,99000144,99200144,99300144,210000,0.3,7.85E-09
M00000145,SAE J403-10L04,SAEJ403-10L04,99000145,99200145,99300145,210000,0.3,7.85E-09
M00000146,SAE J403-10L05,SAEJ403-10L05,99000146,99200146,99300146,210000,0.3,7.85E-09
M00000147,SAE J403-10L06,SAEJ403-10L06,99000147,99200147,99300147,210000,0.3,7.85E-09
M00000148,SAE J403-10L07,SAEJ403-10L07,99000148,99200148,99300148,210000,0.3,7.85E-09
M00000149,SAE J403-10L08,SAEJ403-10L08,99000149,99200149,99300149,210000,0.3,7.85E-09
M00000150,SAE J403-10L09,SAEJ403-10L09,99000150,99200150,99300150,210000,0.3,7.85E-09
M00000151,SAE J403-10L10,SAEJ403-10L10,99000151,99200151,99300151,210000,0.3,7.85E-09
M00000152,SAE J403-10L12,SAEJ403-10L12,99000152,99200152,99300152,210000,0.3,7.85E-09
M00000153,SAE J403-10L13,SAEJ403-10L13,99000153,99200153,99300153,210000,0.3,7.85E-09
M00000154,SAE J403-10L15,SAEJ403-10L15,99000154,99200154,99300154,210000,0.3,7.85E-09
M00000155,SAE J403-10L16,SAEJ403-10L16,99000155,99200155,99300155,210000,0.3,7.85E-09
M00000156,SAE J403-10L17,SAEJ403-10L17,99000156,99200156,99300156,210000,0.3,7.85E-09
M00000157,SAE J403-10L18,SAEJ403-10L18,99000157,99200157,99300157,210000,0.3,7.85E-09
M00000158,SAE J403-10L19,SAEJ403-10L19,99000158,99200158,99300158,210000,0.3,7.85E-09
M00000159,SAE J403-10L20,SAEJ403-10L20,99000159,99200159,99300159,210000,0.3,7.85E-09
M00000160,SAE J403-10L21,SAEJ403-10L21,99000160,99200160,99300160,210000,0.3,7.85E-09
M00000161,SAE J403-10L22,SAEJ403-10L22,99000161,99200161,99300161,210000,0.3,7.85E-09
M00000162,SAE J403-10L23,SAEJ403-10L23,99000162,99200162,99300162,210000,0.3,7.85E-09
M00000163,SAE J403-10L25,SAEJ403-10L25,99000163,99200163,99300163,210000,0.3,7.85E-09
M00000164,SAE J403-10L26,SAEJ403-10L26,99000164,99200164,99300164,210000,0.3,7.85E-09
M00000165,SAE J403-10L29,SAEJ403-10L29,99000165,99200165,99300165,210000,0.3,7.85E-09
M00000166,SAE J403-10L30,SAEJ403-10L30,99000166,99200166,99300166,210000,0.3,7.85E-09
M00000167,SAE J403-10L33,SAEJ403-10L33,99000167,99200167,99300167,210000,0.3,7.85E-09
M00000168,SAE J403-10L35,SAEJ403-10L35,99000168,99200168,99300168,210000,0.3,7.85E-09
M00000169,SAE J403-10L37,SAEJ403-10L37,99000169,99200169,99300169,210000,0.3,7.85E-09
M00000170,SAE J403-10L38,SAEJ403-10L38,99000170,99200170,99300170,210000,0.3,7.85E-09
M00000171,SAE J403-10L39,SAEJ403-10L39,99000171,99200171,99300171,210000,0.3,7.85E-09
M00000172,SAE J403-10L40,SAEJ403-10L40,99000172,99200172,99300172,210000,0.3,7.85E-09
M00000173,SAE J403-10L42,SAEJ403-10L42,99000173,99200173,99300173,210000,0.3,7.85E-09
M00000174,SAE J403-10L43,SAEJ403-10L43,99000174,99200174,99300174,210000,0.3,7.85E-09
M00000175,SAE J403-10L44,SAEJ403-10L44,99000175,99200175,99300175,210000,0.3,7.85E-09
M00000176,SAE J403-10L45,SAEJ403-10L45,99000176,99200176,99300176,210000,0.3,7.85E-09
M00000177,SAE J403-10L46,SAEJ403-10L46,99000177,99200177,99300177,210000,0.3,7.85E-09
M00000178,SAE J403-10L49,SAEJ403-10L49,99000178,99200178,99300178,210000,0.3,7.85E-09
M00000179,SAE J403-10L50,SAEJ403-10L50,99000179,99200179,99300179,210000,0.3,7.85E-09
M00000180,SAE J403-10L53,SAEJ403-10L53,99000180,99200180,99300180,210000,0.3,7.85E-09
M00000181,SAE J403-10L55,SAEJ403-10L55,99000181,99200181,99300181,210000,0.3,7.85E-09
M00000182,SAE J403-10L60,SAEJ403-10L60,99000182,99200182,99300182,210000,0.3,7.85E-09
M00000183,SAE J403-10L65,SAEJ403-10L65,99000183,99200183,99300183,210000,0.3,7.85E-09
M00000184,SAE J403-10L70,SAEJ403-10L70,99000184,99200184,99300184,210000,0.3,7.85E-09
M00000185,SAE J403-10L74,SAEJ403-10L74,99000185,99200185,99300185,210000,0.3,7.85E-09
M00000186,SAE J403-10L75,SAEJ403-10L75,99000186,99200186,99300186,210000,0.3,7.85E-09
M00000187,SAE J403-10L78,SAEJ403-10L78,99000187,99200187,99300187,210000,0.3,7.85E-09
M00000188,SAE J403-10L80,SAEJ403-10L80,99000188,99200188,99300188,210000,0.3,7.85E-09
M00000189,SAE J403-10L84,SAEJ403-10L84,99000189,99200189,99300189,210000,0.3,7.85E-09
M00000190,SAE J403-10L85,SAEJ403-10L85,99000190,99200190,99300190,210000,0.3,7.85E-09
M00000191,SAE J403-10L86,SAEJ403-10L86,99000191,99200191,99300191,210000,0.3,7.85E-09
M00000192,SAE J403-10L90,SAEJ403-10L90,99000192,99200192,99300192,210000,0.3,7.85E-09
M00000193,SAE J403-10L95,SAEJ403-10L95,99000193,99200193,99300193,210000,0.3,7.85E-09
M00000194,SAE J403-15L15,SAEJ403-15L15,99000194,99200194,99300194,210000,0.3,7.85E-09
M00000195,SAE J403-15L21,SAEJ403-15L21,99000195,99200195,99300195,210000,0.3,7.85E-09
M00000196,SAE J403-15L22,SAEJ403-15L22,99000196,99200196,99300196,210000,0.3,7.85E-09
M00000197,SAE J403-15L24,SAEJ403-15L24,99000197,99200197,99300197,210000,0.3,7.85E-09
M00000198,SAE J403-15L26,SAEJ403-15L26,99000198,99200198,99300198,210000,0.3,7.85E-09
M00000199,SAE J403-15L27,SAEJ403-15L27,99000199,99200199,99300199,210000,0.3,7.85E-09
M00000200,SAE J403-15L36,SAEJ403-15L36,99000200,99200200,99300200,210000,0.3,7.85E-09
M00000201,SAE J403-15L41,SAEJ403-15L41,99000201,99200201,99300201,210000,0.3,7.85E-09
M00000202,SAE J403-15L47,SAEJ403-15L47,99000202,99200202,99300202,210000,0.3,7.85E-09
M00000203,SAE J403-15L48,SAEJ403-15L48,99000203,99200203,99300203,210000,0.3,7.85E-09
M00000204,SAE J403-15L52,SAEJ403-15L52,99000204,99200204,99300204,210000,0.3,7.85E-09
M00000205,SAE J403-15L66,SAEJ403-15L66,99000205,99200205,99300205,210000,0.3,7.85E-09
